"year","adopters_low_m","adopters_base_m","adopters_high_m","cum_low_m","cum_base_m","cum_high_m"
2025,0.117,0.146,0.175,0.097,0.122,0.146
2026,0.17,0.212,0.254,0.239,0.299,0.359
2027,0.244,0.305,0.366,0.444,0.555,0.666
2028,0.347,0.434,0.521,0.737,0.921,1.106
2029,0.486,0.607,0.729,1.151,1.438,1.726
2030,0.664,0.83,0.996,1.722,2.153,2.583
2031,0.878,1.098,1.317,2.491,3.113,3.736
2032,1.114,1.392,1.67,3.486,4.357,5.229
2033,1.338,1.673,2.007,4.714,5.893,7.071
2034,1.508,1.885,2.262,6.144,7.68,9.216
