"year","adopters_base_m","adopters_low_m","adopters_high_m","cum_base_m","cum_low_m","cum_high_m"
2025,0.146117517658752,0.116894014127001,0.175341021190502,0.121708093370627,0.0973664746965012,0.146049712044752
2026,0.212082620155919,0.169666096124735,0.254499144187102,0.298865432307155,0.239092345845724,0.358638518768586
2027,0.305294930063058,0.244235944050446,0.366353916075669,0.554940797939744,0.443952638351795,0.665928957527693
2028,0.434283585292094,0.347426868233675,0.521140302350513,0.921380033655485,0.737104026924388,1.10565604038658
2029,0.607428703845027,0.485942963076021,0.728914444614032,1.43826015243362,1.15060812194689,1.72591218292034
2030,0.829811164835893,0.663848931868715,0.995773397803072,2.1527445632752,1.72219565062016,2.58329347593024
2031,1.09775929353021,0.878207434824169,1.31731115223625,3.11324742570345,2.49059794056276,3.73589691084414
2032,1.39193792384836,1.11355033907869,1.67032550861804,4.35724335807984,3.48579468646387,5.22869202969581
2033,1.67281621726887,1.3382529738151,2.00737946072264,5.89288370505042,4.71430696404034,7.07146044606051
2034,1.88524768578142,1.50819814862514,2.26229722293771,7.68004515763064,6.14403612610451,9.21605418915676
